type,classe,nom,prenom,naissance,sexe,statut,date,heure,categorie,fait
META,2025/2026,semestre,2025-09-01,2026-01-31,2026-02-01,2026-08-31,,
ELEVE,301,Michel,Gabriel,05/05/2011,Masculin,actif,,,,
ELEVE,301,Meunier,Lucie,20/02/2012,Feminin,actif,,,,
ELEVE,301,Robert,Axel,08/04/2010,Masculin,actif,,,,
ELEVE,301,Denis,Nathan,18/11/2010,Masculin,actif,,,,
ELEVE,301,Morel,Jade,25/11/2012,Feminin,actif,,,,
ELEVE,301,Sanchez,Adam,19/11/2012,Masculin,actif,,,,
ELEVE,301,Fontaine,Eliott,23/02/2010,Masculin,actif,,,,
ELEVE,301,Simon,Milo,21/02/2011,Masculin,actif,,,,
ELEVE,401,Bertrand,Eliott,20/07/2010,Masculin,actif,,,,
ELEVE,401,Barbier,Adam,26/09/2010,Masculin,actif,,,,
ELEVE,401,Laurent,Chloe,25/07/2010,Feminin,actif,,,,
ELEVE,401,Fontanel,Lucas,09/01/2010,Masculin,actif,,,,
ELEVE,401,David,Nora,27/10/2010,Feminin,actif,,,,
ELEVE,401,Bernard,Camille,08/01/2010,Feminin,actif,,,,
ELEVE,401,Robin,Noah,16/03/2011,Masculin,actif,,,,
ELEVE,401,Mercier,Zoe,28/01/2012,Feminin,actif,,,,
SESSION,301,demo_301_202509080900,1757314800000,1757318100000
OBS,301,Michel,Gabriel,,,,2025-09-08,09:02,tutorat,donne_reponse_directe
OBS,301,Michel,Gabriel,,,,2025-09-08,09:04,participation,repond_si_sollicite
OBS,301,Michel,Gabriel,,,,2025-09-08,09:06,attention,bavarde_travail
OBS,301,Michel,Gabriel,,,,2025-09-08,09:08,difficulte,attend_d
OBS,301,Meunier,Lucie,,,,2025-09-08,09:21,tutorat,explique_camarade
OBS,301,Meunier,Lucie,,,,2025-09-08,09:23,participation,repond_si_sollicite
OBS,301,Meunier,Lucie,,,,2025-09-08,09:25,ressources,echange_camarade
OBS,301,Meunier,Lucie,,,,2025-09-08,09:27,entree,demarre_relance
OBS,301,Robert,Axel,,,,2025-09-08,09:06,tutorat,donne_reponse_directe
OBS,301,Robert,Axel,,,,2025-09-08,09:08,participation,repond_si_sollicite
OBS,301,Robert,Axel,,,,2025-09-08,09:10,entree,attend_sans_commencer
OBS,301,Robert,Axel,,,,2025-09-08,09:12,attention,bavarde_travail
OBS,301,Robert,Axel,,,,2025-09-08,09:14,finalisation,passe_autre_activite
OBS,301,Denis,Nathan,,,,2025-09-08,09:22,tutorat,refuse_aider
OBS,301,Denis,Nathan,,,,2025-09-08,09:24,participation,ne_participe_pas
OBS,301,Denis,Nathan,,,,2025-09-08,09:26,difficulte,copie_correction
OBS,301,Denis,Nathan,,,,2025-09-08,09:28,entree,ne_demarre_pas
OBS,301,Denis,Nathan,,,,2025-09-08,09:30,finalisation,recopie_correction
