type,classe,nom,prenom,naissance,sexe,statut,date,heure,categorie,fait
META,2025/2026,semestre,2025-09-01,2026-01-31,2026-02-01,2026-08-31,,
ELEVE,302,Faure,Simon,08/12/2011,Masculin,actif,,,,
ELEVE,302,Perrin,Simon,13/01/2012,Masculin,actif,,,,
ELEVE,302,Gauthier,Adam,17/08/2012,Masculin,actif,,,,
ELEVE,302,Rousseau,Jade,19/09/2012,Feminin,actif,,,,
ELEVE,302,Vincent,Lucie,22/09/2012,Feminin,actif,,,,
ELEVE,302,Fournier,Louise,22/09/2012,Feminin,actif,,,,
ELEVE,302,Muller,Lea,11/01/2012,Feminin,actif,,,,
ELEVE,302,Boyer,Iris,02/05/2011,Feminin,actif,,,,
ELEVE,302,Morel,Manon,14/04/2010,Feminin,actif,,,,
ELEVE,302,Bertrand,Liam,25/11/2010,Masculin,actif,,,,
ELEVE,302,Lambert,Maya,06/01/2011,Feminin,actif,,,,
ELEVE,302,Guerin,Lola,15/11/2011,Feminin,actif,,,,
ELEVE,302,Renard,Rose,28/07/2011,Feminin,actif,,,,
ELEVE,302,Robert,Ines,23/07/2010,Feminin,actif,,,,
ELEVE,302,Fontaine,Axel,03/08/2011,Masculin,actif,,,,
ELEVE,302,Sanchez,Rafael,11/12/2012,Masculin,actif,,,,
ELEVE,302,Blanc,Eliott,05/09/2010,Masculin,actif,,,,
ELEVE,302,Dubois,Nathan,11/11/2010,Masculin,actif,,,,
ELEVE,302,Mercier,Zoe,13/12/2011,Feminin,actif,,,,
ELEVE,302,Aubert,Ines,15/10/2012,Feminin,actif,,,,
ELEVE,302,Dupont,Victor,14/07/2010,Masculin,actif,,,,
ELEVE,302,Nicolas,Adam,11/09/2011,Masculin,actif,,,,
ELEVE,302,Girard,Lina,01/08/2010,Feminin,actif,,,,
ELEVE,302,Laurent,Nina,06/07/2012,Feminin,actif,,,,
ELEVE,302,Meunier,Jade,04/08/2011,Feminin,actif,,,,
ELEVE,302,Petit,Louis,22/02/2011,Masculin,actif,,,,
ELEVE,302,Marchand,Eliott,05/07/2010,Masculin,actif,,,,
ELEVE,302,Moreau,Louis,26/09/2010,Masculin,actif,,,,
ELEVE,302,Masson,Rayan,02/10/2011,Masculin,actif,,,,
ELEVE,302,Chevalier,Gabriel,02/01/2010,Masculin,actif,,,,
SESSION,302,demo_302_202509080900,1757314800000,1757318100000
