type,classe,nom,prenom,naissance,sexe,statut,date,heure,categorie,fait
META,2025/2026,semestre,2025-09-01,2026-01-31,2026-02-01,2026-08-31,,
ELEVE,402,Moreau,Ines,18/07/2010,Feminin,actif,,,,
ELEVE,402,Andre,Nolan,19/11/2011,Masculin,actif,,,,
ELEVE,402,Robert,Elsa,01/12/2012,Feminin,actif,,,,
ELEVE,402,Renard,Milo,20/12/2010,Masculin,actif,,,,
ELEVE,402,Denis,Emma,04/11/2011,Feminin,actif,,,,
ELEVE,402,Dupont,Chloe,14/10/2010,Feminin,actif,,,,
ELEVE,402,Marchand,Adam,12/03/2011,Masculin,actif,,,,
ELEVE,402,Lefebvre,Lea,20/04/2010,Feminin,actif,,,,
ELEVE,402,Guerin,Malo,07/03/2012,Masculin,actif,,,,
ELEVE,402,Dumas,Yanis,02/01/2011,Masculin,actif,,,,
ELEVE,402,Garcia,Enzo,23/06/2012,Masculin,actif,,,,
ELEVE,402,Laurent,Lina,08/09/2012,Feminin,actif,,,,
ELEVE,402,Dubois,Timeo,24/11/2011,Masculin,actif,,,,
ELEVE,402,Vincent,Lucie,05/02/2012,Feminin,actif,,,,
ELEVE,402,Blanc,Rafael,09/02/2010,Masculin,actif,,,,
ELEVE,402,Mercier,Chloe,07/09/2012,Feminin,actif,,,,
ELEVE,402,Richard,Rayan,20/06/2012,Masculin,actif,,,,
ELEVE,402,Bernard,Timeo,26/08/2011,Masculin,actif,,,,
ELEVE,402,Faure,Timeo,10/09/2012,Masculin,actif,,,,
ELEVE,402,Fournier,Milo,27/02/2011,Masculin,actif,,,,
ELEVE,402,Roux,Nina,03/04/2011,Feminin,actif,,,,
ELEVE,402,David,Adam,04/02/2010,Masculin,actif,,,,
ELEVE,402,Michel,Agathe,07/09/2011,Feminin,actif,,,,
ELEVE,402,Meunier,Axel,28/02/2011,Masculin,actif,,,,
ELEVE,402,Perrin,Ines,26/09/2012,Feminin,actif,,,,
ELEVE,402,Bertrand,Agathe,03/08/2010,Feminin,actif,,,,
ELEVE,402,Sanchez,Iris,05/03/2012,Feminin,actif,,,,
ELEVE,402,Muller,Louise,24/10/2011,Feminin,actif,,,,
ELEVE,402,Girard,Rafael,26/08/2010,Masculin,actif,,,,
ELEVE,402,Lemoine,Louis,24/08/2010,Masculin,actif,,,,
SESSION,402,demo_402_202509080900,1757314800000,1757318100000
OBS,402,Moreau,Ines,,,,2025-09-08,09:30,tutorat,aide_si_sollicite
OBS,402,Moreau,Ines,,,,2025-09-08,09:32,participation,repond_si_insiste
OBS,402,Moreau,Ines,,,,2025-09-08,09:34,difficulte,attend_d
OBS,402,Moreau,Ines,,,,2025-09-08,09:36,attention,concentre
OBS,402,Moreau,Ines,,,,2025-09-08,09:38,ressources,attend_professeur
OBS,402,Andre,Nolan,,,,2025-09-08,09:40,tutorat,refuse_aider
OBS,402,Andre,Nolan,,,,2025-09-08,09:42,participation,ne_participe_pas
OBS,402,Andre,Nolan,,,,2025-09-08,09:44,attention,bavarde_hors_sujet
OBS,402,Andre,Nolan,,,,2025-09-08,09:46,difficulte,copie_camarade
OBS,402,Robert,Elsa,,,,2025-09-08,09:39,tutorat,explique_camarade
OBS,402,Robert,Elsa,,,,2025-09-08,09:41,participation,participe_spontanement
OBS,402,Robert,Elsa,,,,2025-09-08,09:43,attention,distrait_momentanement
OBS,402,Robert,Elsa,,,,2025-09-08,09:45,finalisation,activite_terminee
OBS,402,Renard,Milo,,,,2025-09-08,09:02,tutorat,aide_si_sollicite
OBS,402,Renard,Milo,,,,2025-09-08,09:04,participation,repond_si_insiste
OBS,402,Renard,Milo,,,,2025-09-08,09:06,finalisation,passe_autre_activite
OBS,402,Renard,Milo,,,,2025-09-08,09:08,ressources,attend_professeur
OBS,402,Renard,Milo,,,,2025-09-08,09:10,attention,distrait_momentanement
OBS,402,Denis,Emma,,,,2025-09-08,09:13,tutorat,refuse_aider
OBS,402,Denis,Emma,,,,2025-09-08,09:15,participation,repond_si_insiste
OBS,402,Denis,Emma,,,,2025-09-08,09:17,difficulte,copie_camarade
OBS,402,Denis,Emma,,,,2025-09-08,09:19,finalisation,recopie_correction
OBS,402,Marchand,Adam,,,,2025-09-08,09:19,tutorat,aide_si_sollicite
OBS,402,Marchand,Adam,,,,2025-09-08,09:21,participation,repond_si_insiste
OBS,402,Marchand,Adam,,,,2025-09-08,09:23,attention,reconcentre_seul
OBS,402,Marchand,Adam,,,,2025-09-08,09:25,finalisation,activite_incomplete
OBS,402,Lefebvre,Lea,,,,2025-09-08,09:09,tutorat,explique_camarade
OBS,402,Lefebvre,Lea,,,,2025-09-08,09:11,participation,repond_si_sollicite
OBS,402,Lefebvre,Lea,,,,2025-09-08,09:13,ressources,attend_professeur
OBS,402,Lefebvre,Lea,,,,2025-09-08,09:15,entree,demarre_relance
OBS,402,Lefebvre,Lea,,,,2025-09-08,09:17,finalisation,verifie_travail
OBS,402,Guerin,Malo,,,,2025-09-08,09:15,tutorat,refuse_aider
OBS,402,Guerin,Malo,,,,2025-09-08,09:17,participation,repond_si_insiste
OBS,402,Guerin,Malo,,,,2025-09-08,09:19,ressources,attend_professeur
OBS,402,Guerin,Malo,,,,2025-09-08,09:21,finalisation,recopie_correction
OBS,402,Guerin,Malo,,,,2025-09-08,09:23,difficulte,copie_camarade
OBS,402,Dumas,Yanis,,,,2025-09-08,09:34,tutorat,aide_si_sollicite
OBS,402,Dumas,Yanis,,,,2025-09-08,09:36,participation,repond_si_sollicite
OBS,402,Dumas,Yanis,,,,2025-09-08,09:38,finalisation,verifie_travail
OBS,402,Dumas,Yanis,,,,2025-09-08,09:40,difficulte,attend_d
OBS,402,Dumas,Yanis,,,,2025-09-08,09:42,ressources,sollicite_immediat
OBS,402,Garcia,Enzo,,,,2025-09-08,09:28,tutorat,aide_si_sollicite
OBS,402,Garcia,Enzo,,,,2025-09-08,09:30,participation,repond_si_sollicite
OBS,402,Garcia,Enzo,,,,2025-09-08,09:32,attention,bavarde_travail
OBS,402,Garcia,Enzo,,,,2025-09-08,09:34,finalisation,passe_autre_activite
OBS,402,Dubois,Timeo,,,,2025-09-08,09:08,tutorat,refuse_aider
OBS,402,Dubois,Timeo,,,,2025-09-08,09:10,participation,repond_si_insiste
OBS,402,Dubois,Timeo,,,,2025-09-08,09:12,finalisation,recopie_correction
OBS,402,Dubois,Timeo,,,,2025-09-08,09:14,difficulte,copie_correction
OBS,402,Vincent,Lucie,,,,2025-09-08,09:27,tutorat,aide_si_sollicite
OBS,402,Vincent,Lucie,,,,2025-09-08,09:29,participation,repond_si_sollicite
OBS,402,Vincent,Lucie,,,,2025-09-08,09:31,difficulte,utilise_document_d
OBS,402,Vincent,Lucie,,,,2025-09-08,09:33,entree,demarre_relance
OBS,402,Vincent,Lucie,,,,2025-09-08,09:35,attention,reconcentre_seul
OBS,402,Blanc,Rafael,,,,2025-09-08,09:26,tutorat,aide_si_sollicite
OBS,402,Blanc,Rafael,,,,2025-09-08,09:28,participation,repond_si_insiste
OBS,402,Blanc,Rafael,,,,2025-09-08,09:30,entree,attend_sans_commencer
OBS,402,Blanc,Rafael,,,,2025-09-08,09:32,finalisation,passe_autre_activite
OBS,402,Blanc,Rafael,,,,2025-09-08,09:34,ressources,attend_professeur
OBS,402,Mercier,Chloe,,,,2025-09-08,09:29,tutorat,explique_camarade
