type,classe,nom,prenom,naissance,sexe,statut,date,heure,categorie,fait
META,2025/2026,semestre,2025-09-01,2026-01-31,2026-02-01,2026-08-31,,
ELEVE,501,Denis,Rayan,18/12/2012,Masculin,actif,,,,
ELEVE,501,Rousseau,Ines,21/01/2012,Feminin,actif,,,,
ELEVE,501,Andre,Elsa,03/09/2010,Feminin,actif,,,,
ELEVE,501,Dubois,Lea,05/03/2010,Feminin,actif,,,,
ELEVE,501,Fontaine,Mohamed,01/02/2011,Masculin,actif,,,,
ELEVE,501,Richard,Sofia,28/05/2012,Feminin,actif,,,,
ELEVE,502,Petit,Camille,28/12/2011,Feminin,actif,,,,
ELEVE,502,Simon,Liam,23/03/2012,Masculin,actif,,,,
ELEVE,502,Meunier,Mohamed,26/12/2011,Masculin,actif,,,,
ELEVE,502,Lambert,Enzo,15/03/2010,Masculin,actif,,,,
ELEVE,502,Vincent,Enzo,01/08/2010,Masculin,actif,,,,
ELEVE,502,Robert,Simon,20/06/2010,Masculin,actif,,,,
ELEVE,502,Robin,Liam,24/08/2011,Masculin,actif,,,,
ELEVE,502,Renard,Lola,26/07/2012,Feminin,actif,,,,
ELEVE,503,Aubert,Julia,14/04/2011,Feminin,actif,,,,
ELEVE,503,Marchand,Lea,12/08/2012,Feminin,actif,,,,
ELEVE,503,David,Chloe,09/02/2010,Feminin,actif,,,,
ELEVE,503,Barbier,Zoe,17/08/2011,Feminin,actif,,,,
ELEVE,503,Dupont,Hugo,01/02/2012,Masculin,actif,,,,
ELEVE,503,Bertrand,Malo,09/09/2010,Masculin,actif,,,,
ELEVE,503,Faure,Iris,22/09/2012,Feminin,actif,,,,
ELEVE,503,Moreau,Eliott,26/01/2011,Masculin,actif,,,,
ELEVE,503,Lemoine,Agathe,25/06/2011,Feminin,actif,,,,
SESSION,501,demo_501_202509080900,1757314800000,1757318100000
OBS,501,Andre,Elsa,,,,2025-09-08,09:17,tutorat,explique_camarade
OBS,501,Andre,Elsa,,,,2025-09-08,09:19,participation,participe_spontanement
OBS,501,Andre,Elsa,,,,2025-09-08,09:21,finalisation,corrige_erreur
OBS,501,Andre,Elsa,,,,2025-09-08,09:23,ressources,utilise_aides_activite
OBS,501,Andre,Elsa,,,,2025-09-08,09:25,entree,demarre_relance
OBS,501,Fontaine,Mohamed,,,,2025-09-08,09:33,tutorat,refuse_aider
OBS,501,Fontaine,Mohamed,,,,2025-09-08,09:35,participation,ne_participe_pas
OBS,501,Fontaine,Mohamed,,,,2025-09-08,09:37,difficulte,observe_camarade
OBS,501,Fontaine,Mohamed,,,,2025-09-08,09:39,entree,attend_sans_commencer
OBS,501,Richard,Sofia,,,,2025-09-08,09:40,tutorat,refuse_aider
OBS,501,Richard,Sofia,,,,2025-09-08,09:42,participation,repond_si_insiste
OBS,501,Richard,Sofia,,,,2025-09-08,09:44,attention,perturbe_camarade
OBS,501,Richard,Sofia,,,,2025-09-08,09:46,entree,attend_sans_commencer
OBS,501,Richard,Sofia,,,,2025-09-08,09:48,finalisation,activite_incomplete
SESSION,501,demo_501_202509110900,1757574000000,1757577300000
OBS,501,Denis,Rayan,,,,2025-09-11,09:25,tutorat,aide_si_sollicite
OBS,501,Denis,Rayan,,,,2025-09-11,09:27,participation,repond_si_sollicite
OBS,501,Denis,Rayan,,,,2025-09-11,09:29,entree,demarre_relance
OBS,501,Denis,Rayan,,,,2025-09-11,09:31,difficulte,observe_camarade
OBS,501,Denis,Rayan,,,,2025-09-11,09:33,finalisation,activite_incomplete
OBS,501,Rousseau,Ines,,,,2025-09-11,09:47,tutorat,donne_reponse_directe
OBS,501,Rousseau,Ines,,,,2025-09-11,09:49,participation,repond_si_insiste
OBS,501,Rousseau,Ines,,,,2025-09-11,09:51,difficulte,attend_d
OBS,501,Rousseau,Ines,,,,2025-09-11,09:53,attention,bavarde_travail
OBS,501,Rousseau,Ines,,,,2025-09-11,09:53,entree,attend_sans_commencer
OBS,501,Andre,Elsa,,,,2025-09-11,09:02,tutorat,explique_camarade
OBS,501,Andre,Elsa,,,,2025-09-11,09:04,participation,repond_si_sollicite
OBS,501,Andre,Elsa,,,,2025-09-11,09:06,entree,demarre_immediat
OBS,501,Andre,Elsa,,,,2025-09-11,09:08,attention,concentre
OBS,501,Andre,Elsa,,,,2025-09-11,09:10,finalisation,corrige_erreur
OBS,501,Dubois,Lea,,,,2025-09-11,09:30,tutorat,aide_si_sollicite
OBS,501,Dubois,Lea,,,,2025-09-11,09:32,participation,repond_si_insiste
OBS,501,Dubois,Lea,,,,2025-09-11,09:34,ressources,sollicite_apres_cherche
OBS,501,Dubois,Lea,,,,2025-09-11,09:36,difficulte,observe_camarade
OBS,501,Dubois,Lea,,,,2025-09-11,09:38,attention,distrait_momentanement
OBS,501,Richard,Sofia,,,,2025-09-11,09:09,tutorat,refuse_aider
OBS,501,Richard,Sofia,,,,2025-09-11,09:11,participation,ne_participe_pas
OBS,501,Richard,Sofia,,,,2025-09-11,09:13,finalisation,recopie_correction
OBS,501,Richard,Sofia,,,,2025-09-11,09:15,attention,revasse
OBS,501,Richard,Sofia,,,,2025-09-11,09:17,ressources,attend_correction
SESSION,501,demo_501_202509160900,1758006000000,1758009300000
OBS,501,Denis,Rayan,,,,2025-09-16,09:13,tutorat,aide_si_sollicite
OBS,501,Denis,Rayan,,,,2025-09-16,09:15,participation,repond_si_sollicite
OBS,501,Denis,Rayan,,,,2025-09-16,09:17,ressources,sollicite_immediat
OBS,501,Denis,Rayan,,,,2025-09-16,09:19,difficulte,attend_d
OBS,501,Denis,Rayan,,,,2025-09-16,09:21,attention,bavarde_travail
OBS,501,Rousseau,Ines,,,,2025-09-16,09:13,tutorat,donne_reponse_directe
OBS,501,Rousseau,Ines,,,,2025-09-16,09:15,participation,repond_si_insiste
OBS,501,Rousseau,Ines,,,,2025-09-16,09:17,entree,attend_sans_commencer
OBS,501,Rousseau,Ines,,,,2025-09-16,09:19,finalisation,activite_incomplete
OBS,501,Andre,Elsa,,,,2025-09-16,09:31,tutorat,explique_camarade
